"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"3301","20","3126","97","71","58","0","11","41","40","0","11","0","11","63","57","4","7","59","56","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3208","245","3048","263","0","11","21","33","0","11","0","11","0","11","139","94","19","32","120","93","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3183","245","3152","252","15","25","0","11","0","11","0","11","16","26","0","11","0","11","0","11","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2983","17","2865","110","15","16","0","11","55","58","10","14","0","11","38","44","0","11","38","44","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3551","19","3442","62","35","46","3","6","31","34","0","11","0","11","40","31","0","11","40","31","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3738","19","3598","107","20","28","7","14","39","47","0","11","20","32","54","63","0","11","54","63","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4680","29","4408","120","0","11","132","119","60","51","0","11","0","11","80","64","0","11","80","64","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"7311","15","7049","172","0","16","35","53","145","160","0","16","0","16","82","81","0","16","82","81","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"4026","253","3922","257","2","4","0","11","34","42","0","11","0","11","68","90","0","11","68","90","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"5359","379","5186","379","3","6","0","16","0","16","0","16","42","112","128","91","0","16","128","91","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"4130","344","3849","341","143","141","0","11","84","72","0","11","0","11","54","40","0","11","54","40","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"2961","261","2853","263","76","87","11","14","0","11","0","11","3","7","18","22","0","11","18","22","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"1213","164","1191","167","0","11","0","11","22","32","0","11","0","11","0","11","0","11","0","11","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"5940","161","5755","208","0","16","8","19","28","40","0","16","0","16","149","122","27","48","122","112","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"5303","23","5220","84","20","35","0","16","30","43","0","16","16","29","17","28","0","16","17","28","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"3890","228","3876","229","4","6","0","11","6","9","0","11","3","5","1","4","0","11","1","4","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"6319","433","6205","445","0","16","0","16","25","33","0","16","0","16","89","66","0","16","89","66","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"4180","426","4113","427","1","3","0","11","11","18","0","11","0","11","55","63","0","11","55","63","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"2818","80","2648","129","58","66","0","11","36","47","0","11","0","11","76","64","0","11","76","64","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"5137","207","4949","225","39","62","3","4","58","47","0","16","2","4","86","65","0","16","86","65","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"2979","197","2862","225","0","11","0","11","18","24","0","11","4","8","95","72","0","11","95","72","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"4334","26","3986","132","123","89","28","43","0","11","0","11","0","11","197","116","27","42","170","109","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"5849","191","5847","189","0","16","0","16","0","16","0","16","0","16","2","5","0","16","2","5","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"6320","18","6184","121","0","16","0","16","125","120","0","16","2","4","9","20","0","16","9","20","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"4099","28","3926","86","1","2","0","11","48","38","12","21","33","41","79","64","0","11","79","64","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"2213","215","2177","210","0","11","0","11","0","11","0","11","0","11","36","41","0","11","36","41","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"4212","208","4089","198","8","11","7","13","18","15","0","11","42","36","48","34","7","12","41","32","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"3936","20","3827","109","72","98","19","34","0","11","0","11","0","11","18","21","0","11","18","21","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"5225","213","5048","204","27","29","26","24","15","13","0","16","10","10","99","77","3","5","96","75","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"5283","16","5043","149","0","16","0","16","77","68","0","16","76","94","87","75","0","16","87","75","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"6054","17","5669","200","79","44","0","16","25","27","0","16","30","40","251","139","91","103","160","91","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"3433","223","3419","222","0","11","3","4","5","7","0","11","0","11","6","7","4","6","2","5","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"4399","225","4117","273","1","3","45","34","66","68","6","11","17","19","147","88","5","7","142","87","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"7199","20","6849","165","6","10","8","13","124","82","0","16","0","16","212","129","18","30","194","129","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"5160","300","4617","319","35","39","0","16","356","211","23","37","0","16","129","105","0","16","129","105","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"5119","390","4700","431","238","182","0","16","64","77","0","16","24","40","93","73","26","35","67","63","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"3157","251","2964","245","41","38","0","11","69","101","0","11","0","11","83","61","16","26","67","54","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"5615","447","5210","428","92","48","25","23","4","9","0","16","8","12","276","114","0","16","276","114","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"3902","218","3794","205","0","11","0","11","74","61","0","11","0","11","34","28","0","11","34","28","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"5197","317","5111","326","36","27","10","12","6","12","0","16","6","15","28","32","0","16","28","32","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"3911","17","3763","107","23","22","0","11","0","11","10","15","13","19","102","94","0","11","102","94","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"4240","48","4132","88","24","29","4","6","56","61","0","11","0","11","24","24","0","11","24","24","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"2040","182","1965","181","3","6","4","6","0","11","7","13","0","11","61","45","6","13","55","44","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"2541","135","2507","133","0","11","3","4","0","11","0","11","5","7","26","23","4","6","22","22","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"1888","118","1875","118","0","11","4","7","5","6","0","11","0","11","4","5","1","3","3","4","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"3558","220","3419","224","15","12","19","20","29","39","0","11","0","11","76","38","0","11","76","38","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"3275","20","3186","53","23","23","0","11","15","22","0","11","16","24","35","34","21","33","14","12","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"4749","340","3809","345","684","211","6","9","9","17","21","32","82","52","138","65","57","49","81","46","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"3179","277","3052","292","0","11","0","11","37","35","0","11","14","24","76","52","12","21","64","50","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"2293","279","2246","281","0","11","19","30","7","12","0","11","0","11","21","23","12","18","9","15","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
"3054","67","2875","149","13","17","13","20","28","40","0","11","0","11","125","83","0","11","125","83","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"1998","196","1939","199","28","60","3","4","14","17","0","11","1","3","13","12","0","11","13","12","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"3166","205","2949","214","58","50","35","34","24","26","0","11","1","3","99","60","0","11","99","60","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"5915","17","5724","135","0","16","75","97","46","72","0","16","0","16","70","64","29","45","41","45","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"4325","242","4146","251","21","32","8","10","57","39","10","11","2","3","81","52","0","11","81","52","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"5077","260","4931","256","9","15","30","28","19","14","1","2","7","9","80","43","10","13","70","41","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"3635","212","3485","213","17","26","0","11","57","47","0","11","3","5","73","75","0","11","73","75","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"2457","278","2341","247","11","13","13","18","68","83","0","11","0","11","24","26","3","6","21","26","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"4601","29","4472","94","16","18","17","25","6","14","0","11","3","6","87","78","0","11","87","78","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"3206","350","2734","202","112","95","12","11","298","304","0","11","41","56","9","9","4","6","5","7","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"4875","271","4793","275","5","10","0","11","5","8","0","11","2","4","70","71","0","11","70","71","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"3254","218","3118","217","20","18","0","11","22","21","1","2","17","19","76","49","0","11","76","49","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"6755","20","6212","199","113","65","0","16","253","172","0","16","5","11","172","92","0","16","172","92","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"4223","359","3988","377","31","32","0","11","52","59","0","11","12","18","140","115","0","11","140","115","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"4267","248","3909","326","3","6","12","17","85","87","0","11","15","25","243","189","9","13","234","188","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"3632","252","3474","261","10","15","25","27","45","32","6","7","3","5","69","48","6","7","63","46","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"3920","17","3594","172","32","38","0","11","135","105","0","11","23","31","136","124","14","25","122","122","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"4545","17","4526","24","3","3","0","11","0","11","16","20","0","11","0","11","0","11","0","11","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"2959","375","2463","381","65","78","8","12","293","188","8","13","0","11","122","99","0","11","122","99","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"8508","377","6743","370","310","99","40","38","997","188","0","16","53","34","365","121","25","28","340","117","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"7720","405","6601","453","182","108","8","13","683","223","0","16","78","76","168","76","12","21","156","73","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"5903","400","5560","468","115","106","18","27","210","167","0","16","0","16","0","16","0","16","0","16","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"2997","236","2771","227","116","132","11","16","49","41","0","11","9","14","41","48","0","11","41","48","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"5072","339","4205","338","168","83","0","16","488","293","0","16","100","91","111","63","22","22","89","63","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"2447","187","2206","206","145","131","5","8","48","42","0","11","0","11","43","59","0","11","43","59","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"3296","319","2997","329","159","132","0","11","80","107","0","11","0","11","60","54","11","17","49","51","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"5276","450","4383","501","332","201","0","16","465","265","0","16","51","59","45","50","21","35","24","34","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"2940","288","2353","254","325","252","36","59","102","126","0","11","22","28","102","132","0","11","102","132","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"2208","245","1965","248","161","165","0","11","35","47","0","11","17","19","30","32","0","11","30","32","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"2952","215","2832","233","34","47","9","14","15","18","0","11","20","23","42","37","0","11","42","37","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"2251","225","1979","203","25","34","15","14","47","30","0","11","40","33","145","140","31","25","114","137","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"3511","231","3086","275","227","177","0","11","16","21","0","11","0","11","182","107","0","11","182","107","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"5917","566","4662","559","589","501","0","16","507","291","28","49","0","16","131","152","16","27","115","149","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"6233","352","5799","386","15","36","0","16","294","194","0","16","0","16","125","128","0","16","125","128","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"5340","378","4298","455","374","392","0","16","391","294","0","16","85","93","192","171","0","16","192","171","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"1843","186","1702","214","74","77","0","11","26","24","0","11","11","12","30","26","7","10","23","23","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"3028","274","2612","314","134","200","0","11","185","172","0","11","32","61","65","59","49","56","16","18","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"2194","258","1470","262","360","169","2","8","164","95","0","11","138","111","60","55","6","10","54","58","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"3229","342","2408","343","407","256","0","11","233","173","0","11","17","26","164","98","0","11","164","98","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
