"B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M","GEO_ID","NAME"
"Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born","id","Geographic Area Name"
"34607","4897","30000","7757","38191","4735","-","**","-","**","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"31288","3815","25048","10868","31038","3749","-","**","48370","17138","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"35625","10638","32823","13998","37560","12502","-","**","-","**","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"37604","6633","34071","7928","40344","6014","-","**","46607","21358","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"29634","3365","30594","2963","27132","6013","-","**","-","**","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"35768","4428","36354","9070","36901","3806","-","**","17283","17132","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"31250","2212","32331","6539","29148","5270","-","**","22121","6524","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"34060","6576","34263","8022","31850","5345","-","**","-","**","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"25441","4569","25285","7880","24695","5484","-","**","28929","16657","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"24240","5809","19955","3366","35920","10279","-","**","45069","33011","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"34257","5558","30139","5836","40877","5484","-","**","-","**","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"30417","4229","28824","6282","30000","8050","-","**","50720","22238","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"44524","5725","37159","3829","49702","6240","-","**","87955","39651","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"38262","4235","29748","3985","42808","10792","-","**","42740","40558","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
