"B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters","id","Geographic Area Name"
"3301","20","3216","83","1332","90","713","96","146","63","567","80","619","95","119","45","500","89","919","74","2","5","78","39","15","16","684","98","627","105","50","44","7","10","19","16","5","7","16","18","26","28","6","11","24","19","0","11","90","67","85","84","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3208","245","3208","245","1491","128","699","145","342","122","357","82","792","122","237","98","555","126","543","83","15","24","194","98","0","11","762","167","631","170","49","54","82","68","42","47","0","11","0","11","0","11","0","11","0","11","0","11","161","156","0","11","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3183","245","3183","245","1370","134","528","162","124","89","404","104","842","146","216","72","626","139","789","123","11","18","55","36","0","11","770","170","692","168","78","64","0","11","15","25","0","11","18","30","0","11","13","20","112","174","0","11","30","34","0","11","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2983","17","2973","19","1119","93","583","112","128","76","455","82","536","107","128","60","408","84","677","77","10","13","83","42","0","11","793","108","719","123","15","18","59","71","11","18","22","20","77","85","58","62","6","10","14","21","0","11","103","57","10","7","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3551","19","3283","115","1434","109","716","125","239","102","477","87","718","125","215","85","503","108","662","111","13","19","133","64","0","11","797","118","710","120","30","46","57","68","64","85","0","11","8","13","4","8","10","17","44","52","16","24","98","69","268","116","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3738","19","3738","19","1515","120","813","156","241","104","572","136","702","149","180","75","522","127","781","131","0","11","47","30","0","11","1035","142","976","142","26","22","33","29","114","79","6","10","30","40","8","13","41","39","40","59","0","11","121","85","0","11","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4680","29","4680","29","1753","153","885","157","154","95","731","128","868","161","250","138","618","135","963","116","2","7","92","56","0","11","1339","159","1243","172","0","11","96","70","175","118","0","11","0","11","10","15","12","19","133","113","44","49","157","81","0","11","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"7311","15","7304","16","2998","229","1363","288","262","155","1101","213","1635","225","404","131","1231","221","1581","194","32","37","102","70","0","16","1671","285","1622","278","18","29","31","45","390","291","15","24","68","86","13","22","27","45","60","72","29","46","318","183","7","4","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"4026","253","3979","256","1747","116","886","151","200","72","686","135","861","160","381","107","480","121","759","124","0","11","100","74","13","19","949","185","875","194","0","11","74","75","91","96","36","34","13","18","0","11","42","56","33","39","0","11","196","115","47","16","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
