"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"1332","90","988","77","901","77","87","43","39","30","48","37","344","80","265","71","79","44","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1491","128","791","102","547","83","244","82","67","51","177","83","700","143","579","157","121","72","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1370","134","972","112","795","117","177","76","30","36","147","72","398","131","340","124","58","41","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"1119","93","768","85","649","74","119","67","15","17","104","60","351","104","256","97","95","41","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"1434","109","814","97","638","108","176","77","12","19","164","74","620","136","454","124","166","73","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1515","120","1004","110","777","122","227","111","84","71","143","98","511","131","421","125","90","57","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1753","153","1257","110","1009","119","248","95","90","44","158","90","496","165","404","168","92","51","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2998","229","2146","187","1683","203","463","197","46","50","417","192","852","227","666","217","186","121","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1747","116","1044","120","769","117","275","109","147","69","128","88","703","143","581","124","122","64","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1969","180","1240","159","838","176","402","137","27","32","375","137","729","190","547","187","182","90","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1937","148","1072","110","883","107","189","79","28","32","161","78","865","151","625","130","240","117","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"1280","120","824","109","625","102","199","90","53","39","146","85","456","103","424","97","32","30","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"659","82","350","52","327","54","23","20","3","6","20","20","309","75","224","61","85","48","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2373","141","1655","138","1263","188","392","160","103","79","289","147","718","169","574","159","144","103","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"2075","179","1661","130","1435","149","226","136","65","55","161","124","414","155","351","146","63","50","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1995","194","925","140","853","144","72","67","48","55","24","38","1070","224","745","221","325","113","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"2858","250","1641","224","1186","233","455","187","70","64","385","173","1217","289","892","253","325","165","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1917","181","1153","173","763","145","390","147","67","51","323","142","764","186","631","164","133","81","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"1112","102","794","82","699","87","95","38","17","21","78","35","318","94","271","88","47","34","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"2250","173","1469","124","1196","160","273","115","74","73","199","106","781","182","573","159","208","112","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1205","105","887","89","735","78","152","53","51","26","101","43","318","55","289","51","29","17","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"2011","164","1197","134","914","157","283","117","113","90","170","85","814","199","718","179","96","70","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"2420","212","1673","172","1621","168","52","52","4","7","48","52","747","207","513","201","234","145","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"3000","206","2069","169","1637","239","432","189","158","157","274","145","931","251","880","253","51","59","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1765","118","1275","107","1046","109","229","83","119","68","110","63","490","116","400","110","90","54","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"923","104","663","96","613","94","50","29","27","20","23","16","260","84","228","76","32","29","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1720","72","1184","89","952","97","232","55","62","27","170","50","536","85","379","67","157","53","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
