"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school","id","Geographic Area Name"
"3185","57","583","125","15","16","19","17","42","33","3","7","37","23","12","14","26","20","3","5","14","14","49","22","25","16","28","20","38","32","90","61","118","63","64","33","2602","126","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3098","222","453","106","35","32","3","10","15","22","15","26","30","36","28","32","62","44","19","27","30","28","25","29","12","19","80","61","31","37","17","28","51","45","0","11","2645","198","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3045","237","625","173","11","17","34","40","0","11","10","16","23","36","71","59","0","11","15","24","40","35","49","55","21","24","63","54","71","51","28","28","125","108","64","49","2420","192","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2928","44","592","102","54","32","7","13","27","26","59","44","37","35","30","21","23","22","63","35","10","14","38","33","18","19","59","45","36","26","47","35","73","45","11","13","2336","80","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3425","81","626","137","70","56","46","41","0","11","0","11","35","38","51","55","9","16","59","43","0","11","31","35","12","19","63","44","29","32","22","24","170","84","29","31","2799","118","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3652","55","918","156","105","55","25","28","40","36","31","28","28","31","133","98","78","62","0","11","54","63","49","67","16","18","58","54","26","24","33","36","124","71","118","78","2734","144","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4619","59","1125","171","52","60","70","48","69","41","83","46","46","43","0","11","46","43","78","47","37","35","116","69","28","30","105","72","55","41","45","42","220","99","75","53","3494","169","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"7053","170","1518","312","50","56","104","73","41","34","61","54","95","68","92","74","6","12","194","121","72","77","159","108","54","57","102","67","69","64","113","83","246","132","60","57","5535","284","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"3898","275","840","194","0","11","38","39","0","11","42","60","0","11","52","52","50","53","56","52","0","11","0","11","35","37","37","35","153","80","66","60","227","128","84","55","3058","233","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
