"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"2596","135","0","11","0","11","0","11","0","11","0","11","5","8","0","11","0","11","0","11","0","11","10","10","34","33","28","30","61","37","24","15","644","102","55","29","214","60","279","75","192","57","689","90","285","64","41","27","35","22","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"2444","174","11","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","23","12","18","0","11","78","69","586","168","59","66","145","65","308","125","191","75","567","140","367","121","89","56","16","24","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"2410","193","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","29","34","0","11","38","48","40","40","17","20","440","134","101","68","123","65","287","93","250","117","626","201","373","115","34","26","52","34","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2274","96","7","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","0","11","0","11","37","38","22","24","550","94","33","27","162","76","356","135","292","87","465","114","294","90","15","19","33","20","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"2740","114","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","14","7","14","0","11","36","54","14","21","83","60","35","31","41","32","907","158","100","61","331","112","369","133","249","104","381","94","175","69","6","10","0","11","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"2749","132","12","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","0","11","0","11","21","23","0","11","54","44","751","168","68","53","209","89","351","111","270","84","685","195","308","101","10","15","0","11","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"3286","151","38","51","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","61","65","20","23","71","69","67","55","1009","188","212","103","351","132","455","118","291","88","426","129","253","89","32","30","0","11","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"5311","230","115","66","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","18","0","16","0","16","79","65","162","174","111","162","14","21","1472","264","286","137","469","152","718","198","436","146","886","207","374","137","123","96","54","52","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"2861","184","18","20","0","11","0","11","0","11","0","11","13","21","0","11","0","11","16","26","0","11","63","38","27","32","115","66","52","41","91","76","762","138","251","91","182","97","514","174","303","116","341","126","95","68","18","29","0","11","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"3787","315","0","16","0","16","0","16","0","16","0","16","0","16","0","16","18","27","0","16","0","16","89","77","1","27","105","106","61","47","40","41","1114","257","288","145","212","98","380","160","265","121","743","182","335","161","60","56","76","57","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"3112","213","43","51","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","10","18","0","11","10","16","52","37","42","52","39","34","639","127","135","66","166","75","427","144","402","126","667","139","352","116","120","70","0","11","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
