"B17001_001E","B17001_001M","B17001_002E","B17001_002M","B17001_003E","B17001_003M","B17001_004E","B17001_004M","B17001_005E","B17001_005M","B17001_006E","B17001_006M","B17001_007E","B17001_007M","B17001_008E","B17001_008M","B17001_009E","B17001_009M","B17001_010E","B17001_010M","B17001_011E","B17001_011M","B17001_012E","B17001_012M","B17001_013E","B17001_013M","B17001_014E","B17001_014M","B17001_015E","B17001_015M","B17001_016E","B17001_016M","B17001_017E","B17001_017M","B17001_018E","B17001_018M","B17001_019E","B17001_019M","B17001_020E","B17001_020M","B17001_021E","B17001_021M","B17001_022E","B17001_022M","B17001_023E","B17001_023M","B17001_024E","B17001_024M","B17001_025E","B17001_025M","B17001_026E","B17001_026M","B17001_027E","B17001_027M","B17001_028E","B17001_028M","B17001_029E","B17001_029M","B17001_030E","B17001_030M","B17001_031E","B17001_031M","B17001_032E","B17001_032M","B17001_033E","B17001_033M","B17001_034E","B17001_034M","B17001_035E","B17001_035M","B17001_036E","B17001_036M","B17001_037E","B17001_037M","B17001_038E","B17001_038M","B17001_039E","B17001_039M","B17001_040E","B17001_040M","B17001_041E","B17001_041M","B17001_042E","B17001_042M","B17001_043E","B17001_043M","B17001_044E","B17001_044M","B17001_045E","B17001_045M","B17001_046E","B17001_046M","B17001_047E","B17001_047M","B17001_048E","B17001_048M","B17001_049E","B17001_049M","B17001_050E","B17001_050M","B17001_051E","B17001_051M","B17001_052E","B17001_052M","B17001_053E","B17001_053M","B17001_054E","B17001_054M","B17001_055E","B17001_055M","B17001_056E","B17001_056M","B17001_057E","B17001_057M","B17001_058E","B17001_058M","B17001_059E","B17001_059M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!75 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!15 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!75 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!5 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!6 to 11 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!12 to 14 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!15 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!16 and 17 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 24 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!25 to 34 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!35 to 44 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!45 to 54 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!55 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 to 74 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!75 years and over","id","Geographic Area Name"
"3297","21","265","102","149","77","0","11","0","11","0","11","6","8","0","11","4","7","68","50","0","11","24","35","0","11","30","23","17","28","0","11","116","55","6","10","0","11","0","11","0","11","10","14","16","34","0","11","10","12","29","29","10","10","23","22","4","7","8","8","3032","102","1501","95","66","37","11","15","41","24","31","26","7","10","40","33","70","44","166","61","106","33","271","53","271","57","259","66","162","44","1531","105","86","54","14","14","72","35","47","24","0","11","19","18","87","74","99","51","213","53","208","58","274","71","234","59","178","54","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3208","245","616","262","417","183","135","125","39","53","37","38","0","11","0","11","0","11","51","43","0","11","56","58","0","11","91","83","0","11","8","12","199","114","14","19","0","11","32","33","0","11","0","11","0","11","8","20","83","64","31","35","12","19","10","17","0","11","9","14","2592","270","1351","205","17","28","3","10","59","49","15","28","45","56","31","37","21","30","298","142","99","45","169","75","214","88","253","74","127","58","1241","160","46","49","8","12","38","34","43","34","34","31","13","18","75","74","61","59","155","68","188","80","180","83","223","69","177","68","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3172","245","220","125","72","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","0","11","41","37","0","11","0","11","21","32","148","107","0","11","0","11","0","11","11","18","0","11","47","46","0","11","0","11","0","11","10","14","37","46","11","17","32","39","2952","262","1309","187","12","19","0","11","61","59","51","45","15","25","23","27","126","102","128","88","68","55","246","72","285","87","221","62","73","34","1643","202","140","103","0","11","77","80","63","51","0","11","53","56","83","71","205","102","61","57","237","84","337","84","246","74","141","50","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2977","18","113","63","46","33","0","11","0","11","0","11","0","11","0","11","8","13","4","10","9","15","5","8","6","10","14","20","0","11","0","11","67","50","0","11","0","11","0","11","0","11","0","11","0","11","2","4","2","4","0","11","0","11","22","24","5","8","36","43","2864","66","1586","116","75","37","23","31","112","50","41","35","29","36","38","33","115","55","205","80","112","42","257","91","352","87","142","46","85","48","1278","113","25","22","6","10","88","42","56","35","12","17","22","25","47","43","85","38","113","39","256","67","321","76","212","56","35","24","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3278","105","274","131","124","95","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","22","21","23","23","50","59","59","8","13","0","11","150","83","13","21","0","11","13","20","0","11","0","11","0","11","0","11","0","11","13","21","51","46","29","47","16","18","15","13","3004","164","1513","165","87","76","0","11","100","72","42","38","0","11","35","35","118","61","254","105","114","52","219","85","261","72","193","64","90","47","1491","168","131","94","21","31","30","33","13","22","37","30","32","32","111","69","159","86","238","73","259","78","160","77","201","53","99","41","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3727","26","444","215","219","107","21","33","0","11","24","32","82","90","0","11","0","11","14","21","0","11","36","32","34","40","8","14","0","11","0","11","225","125","0","11","0","11","0","11","0","11","34","50","0","11","32","42","0","11","100","84","41","43","0","11","0","11","18","20","3283","211","1675","153","76","49","12","18","191","86","8","14","11","16","17","22","84","57","131","64","266","83","207","74","319","76","289","89","64","52","1608","150","119","74","26","28","95","79","13","20","29","28","16","18","74","59","199","87","173","75","222","85","267","75","258","101","117","67","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4659","45","234","112","81","66","0","11","0","11","12","19","0","11","0","11","0","11","24","35","0","11","0","11","23","26","14","20","0","11","8","12","153","83","0","11","0","11","0","11","12","18","0","11","0","11","45","48","6","10","32","35","15","24","35","31","0","11","8","13","4425","123","2074","152","109","64","9","12","117","72","75","51","55","43","83","63","160","79","177","76","342","102","312","82","387","85","114","47","134","52","2351","174","68","55","28","33","194","83","79","60","35","40","30","25","238","110","191","75","410","105","234","66","521","114","181","84","142","62","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"7251","83","691","376","168","121","0","16","0","16","19","28","19","28","0","16","0","16","0","16","0","16","26","39","14","22","90","93","0","16","0","16","523","313","145","157","0","16","22","37","0","16","0","16","0","16","29","46","92","107","0","16","64","70","118","98","30","24","23","27","6560","384","3099","282","47","47","106","79","62","56","199","123","48","55","85","61","177","111","460","163","505","136","285","127","649","149","329","120","147","91","3461","331","99","73","20","32","242","96","204","116","0","16","74","56","349","214","260","104","388","133","586","191","625","138","409","145","205","100","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"3963","252","645","284","365","202","0","11","28","37","109","83","0","11","29","38","0","11","51","52","52","61","27","34","16","19","23","26","4","7","26","31","280","153","49","68","0","11","0","11","0","11","0","11","0","11","21","37","41","55","33","33","62","45","5","7","24","36","45","41","3318","335","1718","237","67","72","0","11","20","31","0","11","17","26","156","82","223","121","177","77","211","87","332","83","201","89","196","76","118","49","1600","210","53","50","34","37","51","52","18","29","0","11","44","42","165","116","224","100","171","63","239","74","247","90","164","71","190","82","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
