"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.3924","0.0333","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"0.5108","0.0666","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"0.4448","0.0600","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"0.4125","0.0574","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"0.3866","0.0339","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"0.3962","0.0496","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"0.3950","0.0555","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"0.4368","0.0524","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"0.4073","0.0326","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"0.3863","0.0445","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"0.4212","0.0398","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"0.5021","0.0822","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"0.4747","0.0541","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"0.4619","0.0505","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"0.3940","0.0695","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"0.4781","0.0629","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"0.4076","0.0551","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"0.4472","0.0709","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"0.4223","0.0587","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"0.4687","0.0443","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"0.3870","0.0425","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"0.4081","0.0330","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"0.3775","0.0356","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"0.4573","0.0512","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"0.4915","0.0449","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
