"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"1332","90","1141","106","191","62","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1491","128","1024","126","467","124","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1370","134","1067","150","303","115","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"1119","93","895","99","224","89","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"1434","109","933","130","501","121","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1515","120","1351","119","164","88","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1753","153","1518","166","235","126","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2998","229","2528","255","470","165","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1747","116","1014","125","733","130","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1969","180","1094","204","875","212","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1937","148","1264","145","673","167","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"1280","120","648","101","632","133","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"659","82","535","80","124","56","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2373","141","2028","177","345","151","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"2075","179","1878","179","197","129","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1995","194","1500","224","495","173","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"2858","250","1874","275","984","279","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1917","181","1372","183","545","146","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"1112","102","894","110","218","63","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"2250","173","1772","163","478","142","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1205","105","1065","105","140","54","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"2011","164","1540","176","471","121","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
