"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1887","121","47","35","25","18","289","68","175","50","368","97","229","85","164","59","183","63","58","42","349","78","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"2771","128","47","50","10","15","445","132","314","140","438","169","547","152","262","105","228","119","71","54","409","128","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"2201","127","69","59","70","61","361","116","261","97","377","135","262","98","149","88","133","83","142","88","377","147","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"1707","110","15","22","31","26","345","98","196","82","252","86","144","62","173","66","147","72","127","79","277","98","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"1795","138","63","52","25","33","200","81","101","65","198","91","345","104","128","76","182","88","87","50","466","127","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"2294","130","8","13","15","24","577","139","231","84","369","141","335","125","157","83","202","117","59","52","341","115","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"2510","154","117","73","35","34","252","99","212","88","549","168","540","133","221","98","101","69","73","68","410","112","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"3699","255","81","88","97","92","628","191","325","124","1093","279","538","186","185","101","112","91","180","122","460","131","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1846","107","6","10","3","6","75","58","246","96","145","71","122","61","159","75","253","100","78","57","759","157","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"2428","94","0","16","19","29","79","64","131","134","282","126","443","141","344","158","173","103","99","65","858","213","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"2839","118","88","61","123","82","433","112","158","73","701","144","183","84","112","61","163","64","258","116","620","137","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"3028","109","58","60","58","56","394","134","204","97","508","172","313","143","212","97","250","109","242","112","789","193","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"2129","59","11","14","43","36","278","77","169","64","510","98","178","62","177","65","157","61","240","77","366","99","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"3049","180","18","31","11","18","542","185","421","204","682","179","615","193","363","135","241","131","0","16","156","82","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"4424","228","86","63","56","52","1030","284","462","183","734","231","683","213","638","251","267","133","168","137","300","140","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"5707","287","0","11","6","5","628","203","572","162","2443","277","605","190","614","152","104","65","79","46","656","158","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"4618","249","18","25","30","31","537","190","377","158","1109","244","935","268","295","150","421","205","88","84","808","236","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"2714","181","9","15","23","24","366","150","201","79","668","160","483","149","122","84","151","95","150","95","541","144","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"2221","137","23","20","14","16","386","114","287","81","455","111","337","97","204","72","123","58","63","34","329","85","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"3594","280","18","19","29","14","463","134","275","114","825","221","542","182","189","92","199","106","98","76","956","170","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"2823","135","26","21","43","22","544","82","417","68","585","89","338","70","306","76","206","66","25","19","333","75","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"3168","201","28","44","76","67","542","182","233","115","558","178","415","160","194","87","209","108","157","100","756","204","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"4162","212","141","115","14","18","975","226","362","155","749","237","651","198","240","113","276","132","5","7","749","222","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"4846","245","35","39","182","114","751","260","767","277","772","219","371","173","417","178","318","185","243","160","990","281","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"4870","207","86","71","28","23","618","160","660","166","1031","204","807","216","711","172","420","144","91","68","418","124","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"2445","96","0","11","16","26","452","106","181","62","342","94","394","100","351","94","177","69","146","78","386","102","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"2065","75","6","5","65","25","356","81","192","41","351","65","259","62","174","54","146","36","35","12","481","72","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
