"GEO_ID","id"
"NAME","Geographic Area Name"
"B25050_001E","Estimate!!Total:"
"B25050_001M","Margin of Error!!Total:"
"B25050_002E","Estimate!!Total:!!Complete plumbing facilities:"
"B25050_002M","Margin of Error!!Total:!!Complete plumbing facilities:"
"B25050_003E","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:"
"B25050_003M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:"
"B25050_004E","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later"
"B25050_004M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later"
"B25050_005E","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949"
"B25050_005M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949"
"B25050_006E","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier"
"B25050_006M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier"
"B25050_007E","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:"
"B25050_007M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:"
"B25050_008E","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later"
"B25050_008M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later"
"B25050_009E","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949"
"B25050_009M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949"
"B25050_010E","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"B25050_010M","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"B25050_011E","Estimate!!Total:!!Lacking complete plumbing facilities:"
"B25050_011M","Margin of Error!!Total:!!Lacking complete plumbing facilities:"
"B25050_012E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:"
"B25050_012M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:"
"B25050_013E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later"
"B25050_013M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later"
"B25050_014E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949"
"B25050_014M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949"
"B25050_015E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier"
"B25050_015M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier"
"B25050_016E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:"
"B25050_016M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:"
"B25050_017E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later"
"B25050_017M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later"
"B25050_018E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949"
"B25050_018M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949"
"B25050_019E","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
"B25050_019M","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier"
