"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more","id","Geographic Area Name"
"1141","106","0","11","21","28","0","11","4","5","0","11","9","13","0","11","0","11","9","14","0","11","21","16","33","34","23","24","12","15","14","13","88","45","106","34","198","60","160","49","224","61","76","34","59","30","42","27","2","4","25","22","15","18","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1024","126","22","23","27","28","9","14","16","23","0","11","0","11","0","11","7","13","0","11","0","11","0","11","0","11","0","11","27","43","36","36","69","42","118","81","45","41","102","56","176","79","68","46","152","76","81","41","0","11","16","23","53","42","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1067","150","11","24","9","15","0","11","0","11","21","33","0","11","0","11","21","25","0","11","0","11","0","11","0","11","0","11","36","35","88","62","61","41","144","85","61","46","187","73","153","73","64","41","85","42","97","57","18","27","11","17","0","11","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"895","99","0","11","0","11","0","11","6","9","12","19","0","11","0","11","0","11","15","16","0","11","0","11","5","8","0","11","14","15","19","17","47","29","49","26","145","59","239","90","224","73","59","33","48","31","0","11","0","11","0","11","13","19","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"933","130","0","11","69","60","19","23","41","50","20","18","32","51","5","11","13","19","17","19","0","11","31","30","20","23","6","10","91","40","45","29","132","52","120","59","109","59","105","65","39","24","13","14","6","11","0","11","0","11","0","11","0","11","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1351","119","0","11","0","11","0","11","12","18","9","14","0","11","0","11","0","11","0","11","10","16","0","11","20","32","0","11","78","57","89","60","96","67","163","62","233","73","213","94","182","82","106","53","111","83","12","16","17","19","0","11","0","11","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1518","166","0","11","0","11","0","11","14","23","0","11","0","11","0","11","0","11","0","11","24","26","0","11","14","22","0","11","144","79","101","67","271","105","249","93","256","81","179","80","182","70","64","36","8","13","0","11","0","11","0","11","12","20","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2528","255","0","16","51","59","58","72","22","24","0","16","28","33","0","16","38","28","120","116","122","120","86","63","73","55","43","41","150","101","159","90","126","77","300","183","392","129","278","105","233","96","126","72","30","35","30","35","44","69","19","32","0","16","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1014","125","0","11","0","11","0","11","0","11","0","11","13","20","8","11","9","15","22","26","34","21","48","38","35","29","32","34","80","56","113","73","223","88","126","65","166","82","76","50","13","20","16","26","0","11","0","11","0","11","0","11","0","11","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1094","204","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","19","32","18","30","39","54","92","66","106","86","91","57","97","72","155","107","227","92","166","108","0","16","45","51","20","33","19","31","0","16","0","16","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1264","145","0","11","0","11","11","16","25","29","14","24","0","11","0","11","0","11","0","11","18","20","49","47","0","11","8","11","55","39","63","41","228","79","118","61","195","93","138","52","102","43","143","64","80","40","17","16","0","11","0","11","0","11","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"648","101","0","11","0","11","12","18","0","11","0","11","0","11","0","11","0","11","8","12","0","11","0","11","0","11","0","11","16","22","75","42","131","72","90","52","106","52","38","28","48","38","11","17","55","42","11","16","31","28","0","11","16","18","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"535","80","42","40","36","28","0","11","10","11","6","9","0","11","0","11","9","9","0","11","4","6","0","11","0","11","0","11","13","13","0","11","13","12","10","10","34","21","32","24","135","57","22","18","66","29","15","13","40","26","4","7","44","25","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2028","177","87","81","0","16","16","25","0","16","0","16","16","25","0","16","14","24","16","25","11","18","24","29","0","16","0","16","22","37","113","73","226","111","139","97","383","137","318","110","250","105","217","116","150","93","26","28","0","16","0","16","0","16","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"1878","179","0","16","0","16","0","16","0","16","0","16","0","16","0","16","49","77","0","16","15","24","0","16","62","78","16","26","81","82","67","67","95","77","96","63","286","99","337","140","305","117","92","66","126","72","110","99","112","81","29","32","0","16","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1500","224","12","18","0","11","0","11","0","11","0","11","0","11","0","11","10","15","5","6","0","11","36","55","0","11","0","11","50","56","0","11","108","69","224","121","215","111","88","66","206","102","199","102","290","112","26","22","28","23","0","11","3","5","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"1874","275","0","16","0","16","20","30","65","74","17","24","0","16","81","79","34","39","0","16","62","74","49","79","123","93","14","22","105","102","44","50","191","137","88","69","257","136","149","95","215","91","225","156","89","80","1","4","45","62","0","16","0","16","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1372","183","13","21","0","11","9","15","0","11","0","11","0","11","0","11","0","11","7","11","34","55","36","45","30","23","46","41","49","47","123","70","221","93","224","98","184","86","231","102","37","29","58","41","43","34","19","22","8","12","0","11","0","11","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"894","110","0","11","0","11","0","11","0","11","0","11","0","11","17","26","0","11","0","11","0","11","0","11","0","11","10","15","27","24","47","40","96","45","98","40","169","60","144","62","122","53","75","40","47","20","24","17","16","12","0","11","2","3","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"1772","163","25","17","43","59","4","5","0","16","21","24","24","25","0","16","83","82","37","59","20","21","17","24","9","13","5","6","108","89","94","76","179","78","144","58","144","50","342","119","217","72","103","45","86","47","18","12","25","23","11","10","13","20","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1065","105","8","13","0","11","0","11","3","5","3","6","0","11","0","11","0","11","34","28","9","9","7","7","19","17","46","31","42","21","66","36","131","43","82","30","158","54","138","47","161","53","64","29","64","24","13","10","14","11","3","5","0","11","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"1540","176","37","44","31","49","0","11","19","21","0","11","56","53","0","11","0","11","75","68","0","11","40","37","58","60","54","57","127","81","68","66","289","106","154","77","247","100","123","71","95","67","31","27","26","30","10","18","0","11","0","11","0","11","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"2190","227","0","16","0","16","0","16","14","22","17","22","0","16","0","16","14","22","14","20","0","16","0","16","0","16","0","16","117","73","259","154","153","74","290","129","315","125","344","147","353","112","156","83","119","92","7","10","17","25","0","16","1","4","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"2429","221","0","16","0","16","0","16","19","33","0","16","0","16","0","16","38","43","24","38","0","16","0","16","24","38","0","16","25","39","27","45","109","71","97","84","447","191","512","167","566","215","172","101","249","142","80","71","14","23","26","42","0","16","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1531","124","8","13","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","29","29","42","31","76","42","70","42","212","78","262","104","321","101","112","66","148","54","89","43","50","28","39","26","65","37","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"858","101","0","11","0","11","0","11","4","7","7","11","0","11","0","11","35","35","39","40","7","10","25","21","0","11","6","9","11","12","13","14","45","39","45","32","111","41","154","54","171","65","48","25","64","37","26","25","36","30","5","8","6","10","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1381","92","20","27","10","11","0","11","6","7","0","11","0","11","0","11","7","7","13","9","14","13","44","19","9","8","39","27","91","30","120","37","203","52","167","45","248","51","146","44","161","45","62","30","4","5","7","9","6","8","2","3","2","3","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"1244","126","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","23","26","12","20","40","44","20","23","44","34","97","49","71","42","153","78","201","84","209","77","280","108","15","17","53","36","19","23","0","11","0","11","0","11","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"1825","100","2","5","4","5","0","16","3","4","10","9","0","16","0","16","0","16","12","11","5","5","13","14","22","12","24","20","64","25","117","38","157","38","188","43","358","58","271","52","308","56","110","28","90","30","32","17","25","15","3","4","7","6","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"1385","174","16","27","0","16","0","16","0","16","57","71","0","16","0","16","15","24","0","16","21","36","0","16","8","14","21","32","69","50","76","55","233","83","293","122","298","141","87","62","119","64","43","51","14","23","15","25","0","16","0","16","0","16","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"1464","175","8","12","0","16","0","16","0","16","6","10","0","16","0","16","7","10","6","9","17","26","15","17","7","12","6","11","51","39","16","20","111","53","155","68","358","102","296","104","135","56","117","66","114","79","15","22","0","16","9","15","15","17","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"1252","84","4","5","0","11","0","11","7","10","0","11","0","11","0","11","30","29","11","12","6","9","11","13","22","17","8","9","76","43","81","35","262","69","124","37","248","66","233","65","87","31","31","17","8","10","3","5","0","11","0","11","0","11","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"1190","95","61","42","5","8","5","9","5","7","26","31","0","11","0","11","5","9","4","6","21","26","0","11","16","14","37","35","117","44","154","49","167","54","139","54","156","43","75","45","106","45","45","32","24","30","11","12","6","9","0","11","5","10","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"2195","255","0","16","0","16","34","38","26","29","0","16","108","119","83","88","67","47","13","22","34","41","0","16","16","28","43","67","105","84","284","129","314","131","202","98","360","134","238","120","251","102","0","16","17","27","0","16","0","16","0","16","0","16","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"1630","138","81","58","94","60","11","18","18","30","21","34","14","22","43","66","11","18","11","17","0","16","0","16","11","19","0","16","61","40","141","70","149","90","136","88","317","116","265","110","202","106","35","37","9","15","0","16","0","16","0","16","0","16","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"853","169","0","16","0","16","0","16","15","25","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","22","13","21","0","16","118","71","179","92","179","104","141","98","53","65","104","72","37","36","0","16","0","16","0","16","0","16","0","16","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"658","97","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","17","10","15","20","22","43","26","74","42","218","80","71","44","123","55","20","23","62","50","7","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"572","92","0","16","0","16","0","16","10","17","9","15","0","16","0","16","0","16","0","16","4","11","18","21","31","28","10","16","71","55","125","77","86","41","67","39","94","51","15","19","32","25","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"1148","98","0","11","0","11","0","11","14","21","0","11","11","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","21","49","46","210","83","173","62","250","78","210","60","131","59","50","33","30","29","0","11","0","11","0","11","6","9","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"1698","216","0","16","0","16","0","16","7","8","18","31","0","16","5","7","0","16","16","25","21","29","0","16","0","16","28","29","10","10","103","82","169","97","214","74","278","93","198","77","438","146","98","52","43","26","49","38","0","16","3","6","0","16","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"1333","160","52","54","33","32","88","55","74","62","29","24","5","10","23","21","0","11","7","10","22","25","33","33","36","40","45","45","158","73","135","58","265","82","67","48","100","55","121","94","9","13","0","11","31","44","0","11","0","11","0","11","0","11","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"1101","194","8","13","41","39","9","14","7","11","49","49","60","51","0","11","52","42","0","11","7","10","27","24","44","39","54","41","110","67","156","80","119","75","56","45","235","96","34","26","33","52","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"836","66","10","9","8","9","20","17","4","5","3","4","0","11","0","11","5","5","18","16","17","12","71","40","33","18","52","30","115","44","90","34","72","28","48","21","111","43","80","30","56","22","8","9","12","13","3","4","0","11","0","11","0","11","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"965","77","48","38","9","12","11","10","27","18","8","10","6","9","7","8","19","14","50","37","18","14","53","24","31","26","85","35","83","44","59","29","93","38","59","32","118","40","84","33","50","25","23","24","15","13","0","11","5","8","0","11","4","5","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"727","56","0","11","0","11","3","5","3","4","0","11","5","5","0","11","13","10","18","11","17","10","9","8","19","12","51","25","57","19","77","24","146","37","60","24","111","27","70","20","41","19","14","17","10","9","3","4","0","11","0","11","0","11","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"1064","89","30","20","13","12","22","18","35","27","7","7","16","13","55","37","72","36","43","21","57","24","133","48","56","25","54","21","98","34","110","39","75","37","16","12","93","37","26","16","26","19","8","10","0","11","0","11","17","16","0","11","2","4","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"1019","108","5","9","0","11","35","36","41","36","10","17","6","10","21","25","0","11","52","39","8","12","33","40","65","41","37","23","135","67","177","76","73","39","83","50","94","42","71","44","21","21","20","22","23","25","9","14","0","11","0","11","0","11","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"822","133","26","25","0","11","0","11","0","11","0","11","20","30","27","23","42","29","56","38","127","77","52","32","62","60","68","39","144","75","43","30","58","31","10","16","40","45","20","22","27","38","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
