"B25096_001E","B25096_001M","B25096_002E","B25096_002M","B25096_003E","B25096_003M","B25096_004E","B25096_004M","B25096_005E","B25096_005M","B25096_006E","B25096_006M","B25096_007E","B25096_007M","B25096_008E","B25096_008M","B25096_009E","B25096_009M","B25096_010E","B25096_010M","B25096_011E","B25096_011M","B25096_012E","B25096_012M","B25096_013E","B25096_013M","B25096_014E","B25096_014M","B25096_015E","B25096_015M","B25096_016E","B25096_016M","B25096_017E","B25096_017M","B25096_018E","B25096_018M","B25096_019E","B25096_019M","B25096_020E","B25096_020M","B25096_021E","B25096_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $50,000","Margin of Error!!Total:!!With a mortgage:!!Less than $50,000","Estimate!!Total:!!With a mortgage:!!$50,000 to $99,999","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $99,999","Estimate!!Total:!!With a mortgage:!!$100,000 to $149,999","Margin of Error!!Total:!!With a mortgage:!!$100,000 to $149,999","Estimate!!Total:!!With a mortgage:!!$150,000 to $199,999","Margin of Error!!Total:!!With a mortgage:!!$150,000 to $199,999","Estimate!!Total:!!With a mortgage:!!$200,000 to $299,999","Margin of Error!!Total:!!With a mortgage:!!$200,000 to $299,999","Estimate!!Total:!!With a mortgage:!!$300,000 to $499,999","Margin of Error!!Total:!!With a mortgage:!!$300,000 to $499,999","Estimate!!Total:!!With a mortgage:!!$500,000 to $749,999","Margin of Error!!Total:!!With a mortgage:!!$500,000 to $749,999","Estimate!!Total:!!With a mortgage:!!$750,000 to $999,999","Margin of Error!!Total:!!With a mortgage:!!$750,000 to $999,999","Estimate!!Total:!!With a mortgage:!!$1,000,000 or more","Margin of Error!!Total:!!With a mortgage:!!$1,000,000 or more","Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $50,000","Margin of Error!!Total:!!Not mortgaged:!!Less than $50,000","Estimate!!Total:!!Not mortgaged:!!$50,000 to $99,999","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $99,999","Estimate!!Total:!!Not mortgaged:!!$100,000 to $149,999","Margin of Error!!Total:!!Not mortgaged:!!$100,000 to $149,999","Estimate!!Total:!!Not mortgaged:!!$150,000 to $199,999","Margin of Error!!Total:!!Not mortgaged:!!$150,000 to $199,999","Estimate!!Total:!!Not mortgaged:!!$200,000 to $299,999","Margin of Error!!Total:!!Not mortgaged:!!$200,000 to $299,999","Estimate!!Total:!!Not mortgaged:!!$300,000 to $499,999","Margin of Error!!Total:!!Not mortgaged:!!$300,000 to $499,999","Estimate!!Total:!!Not mortgaged:!!$500,000 to $749,999","Margin of Error!!Total:!!Not mortgaged:!!$500,000 to $749,999","Estimate!!Total:!!Not mortgaged:!!$750,000 to $999,999","Margin of Error!!Total:!!Not mortgaged:!!$750,000 to $999,999","Estimate!!Total:!!Not mortgaged:!!$1,000,000 or more","Margin of Error!!Total:!!Not mortgaged:!!$1,000,000 or more","id","Geographic Area Name"
"1141","106","684","91","4","5","47","31","21","17","131","38","268","75","161","52","19","17","27","24","6","6","457","80","30","30","39","24","5","7","63","36","90","33","139","46","40","25","15","12","36","29","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1024","126","492","107","0","11","0","11","36","36","132","79","84","52","156","74","11","18","36","30","37","35","532","115","81","43","0","11","27","43","55","40","63","52","88","51","141","73","45","34","32","30","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1067","150","551","127","32","43","0","11","100","61","95","72","146","64","88","46","48","35","42","39","0","11","516","109","30","29","0","11","24","38","110","59","102","51","129","71","37","29","55","41","29","32","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"895","99","646","97","0","11","15","16","26","22","93","36","327","91","140","48","32","29","0","11","13","19","249","71","18","22","5","8","7","10","3","7","57","28","143","63","16","15","0","11","0","11","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"933","130","527","107","43","35","27","31","65","38","176","70","181","78","35","22","0","11","0","11","0","11","406","98","156","83","47","29","71","33","76","38","33","28","17","19","6","11","0","11","0","11","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1351","119","904","122","21","28","30","28","146","77","191","78","280","100","135","58","84","78","0","11","17","19","447","110","0","11","0","11","21","23","68","44","166","69","153","62","27","35","12","16","0","11","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1518","166","1078","135","0","11","11","17","156","84","424","119","362","90","125","59","0","11","0","11","0","11","440","106","14","23","27","30","89","65","96","58","73","45","121","57","8","13","0","11","12","20","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2528","255","1452","176","15","24","80","59","241","126","238","115","614","124","199","95","30","35","16","26","19","32","1076","253","182","96","364","196","68","43","188","162","56","48","160","77","0","16","14","23","44","69","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1014","125","670","121","22","25","79","49","115","71","310","104","128","66","16","26","0","11","0","11","0","11","344","78","8","11","92","54","78","56","39","36","114","64","13","20","0","11","0","11","0","11","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1094","204","679","177","0","16","46","52","141","91","97","63","257","131","92","66","27","42","0","16","19","31","415","138","0","16","30","35","57","56","91","61","125","63","74","70","18","28","20","33","0","16","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1264","145","813","146","39","35","43","39","58","49","217","92","214","91","162","64","69","38","11","18","0","11","451","88","11","17","32","32","60","37","129","61","119","47","83","49","11","14","6","9","0","11","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"648","101","487","92","0","11","0","11","68","44","179","76","133","56","41","35","24","27","11","16","31","28","161","56","12","18","8","12","23","25","42","29","11","18","18","20","31","32","0","11","16","18","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"535","80","195","55","0","11","0","11","0","11","23","16","47","29","74","34","11","11","4","6","36","21","340","67","103","48","4","6","13","13","0","11","19","16","83","41","55","28","11","11","52","29","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2028","177","1414","178","97","91","16","25","92","68","218","106","503","143","363","130","99","82","26","28","0","16","614","144","36","37","35","33","43","42","147","100","198","83","104","56","51","46","0","16","0","16","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"1878","179","1337","165","49","77","62","78","73","72","149","75","511","149","298","110","44","42","56","88","95","85","541","150","0","16","31","26","75","78","42","46","112","78","99","80","82","59","54","44","46","43","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1500","224","912","193","0","11","3","5","33","52","273","122","145","86","331","162","108","75","5","5","14","17","588","163","22","23","38","55","17","25","59","63","158","107","74","40","182","84","21","21","17","17","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"1874","275","976","272","35","41","84","90","99","101","222","142","237","115","188","142","68","75","0","16","43","62","898","255","182","119","164","114","50","52","57","50","169","111","252","130","21","25","1","4","2","4","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1372","183","789","129","13","21","52","58","44","36","330","100","281","99","16","20","43","34","10","16","0","11","583","154","9","15","101","58","128","66","115","66","134","89","79","54","0","11","9","14","8","12","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"894","110","496","80","0","11","10","15","50","39","122","42","181","62","85","44","27","17","19","15","2","3","398","86","17","26","0","11","24","17","72","42","132","55","112","51","20","13","5","8","16","12","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"1772","163","892","162","55","73","59","63","168","115","232","84","203","79","116","42","26","21","18","12","15","15","880","150","145","81","29","25","34","29","91","43","283","106","204","74","60","34","0","16","34","26","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1065","105","549","97","11","14","49","31","62","33","139","38","143","46","120","44","15","11","7","7","3","5","516","73","3","6","66","33","46","22","74","31","153","46","105","40","49","22","6","8","14","11","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"1540","176","801","136","0","11","78","64","84","67","316","104","247","94","60","36","16","27","0","11","0","11","739","168","143","73","149","99","111","79","127","75","123","75","66","62","10","15","10","18","0","11","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"2190","227","1606","219","17","22","0","16","320","150","348","127","508","158","331","116","60","81","4","8","18","25","584","149","28","30","14","20","56","72","95","72","151","91","178","96","59","37","3","6","0","16","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"2429","221","1451","217","40","47","0","16","0","16","120","84","616","192","484","206","111","79","80","71","0","16","978","223","17","28","48","66","52","58","86","67","343","179","254","122","138","126","0","16","40","48","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1531","124","896","139","0","11","8","12","49","36","65","41","316","114","279","100","49","34","43","39","87","39","635","106","8","13","0","11","22","22","81","44","158","63","154","66","99","47","46","40","67","35","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"858","101","418","75","0","11","42","33","8","11","69","49","122","42","79","34","56","35","20","24","22","27","440","93","46","37","35","33","16","14","21","15","143","52","140","60","8","12","6","9","25","17","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1381","92","788","70","0","11","54","24","101","32","241","52","259","52","125","40","4","5","2","4","2","3","593","73","43","31","65","26","110","37","129","43","135","42","98","33","0","11","5","7","8","8","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"1244","126","658","95","0","11","55","37","85","55","177","76","179","72","143","77","19","16","0","11","0","11","586","129","0","11","47","46","56","47","47","29","231","99","152","68","34","33","19","23","0","11","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"1825","100","1014","88","14","8","36","24","82","32","227","48","383","57","220","43","38","19","5","5","9","7","811","89","5","7","40","18","99","34","118","33","246","44","198","51","52","21","27","15","26","15","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"1385","174","834","160","0","16","21","36","111","65","325","113","255","115","122","66","0","16","0","16","0","16","551","137","88","82","29","36","34","40","201","90","130","82","40","39","14","23","15","25","0","16","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"1464","175","986","145","8","12","23","28","36","33","210","84","468","98","148","55","54","65","15","22","24","23","478","114","13","13","28","25","31","30","56","35","186","82","104","54","60","46","0","16","0","16","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"1252","84","763","87","7","10","26","20","82","37","256","62","310","64","82","38","0","11","0","11","0","11","489","67","34","29","32","17","75","46","130","40","171","51","36","17","8","10","3","5","0","11","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"1190","95","708","94","16","15","47","41","187","55","210","57","103","40","110","43","24","30","0","11","11","13","482","91","91","46","31","28","84","41","96","44","128","56","41","29","0","11","11","12","0","11","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"2195","255","1392","230","129","123","23","36","283","137","385","149","400","142","172","98","0","16","0","16","0","16","803","193","189","95","83","79","106","78","131","70","198","102","79","58","17","27","0","16","0","16","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"1630","138","829","152","30","38","0","16","95","62","230","118","435","110","39","32","0","16","0","16","0","16","801","156","263","94","22","25","107","72","55","41","147","88","198","99","9","15","0","16","0","16","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"853","169","527","142","0","16","13","21","15","23","282","128","119","85","98","59","0","16","0","16","0","16","326","137","15","25","14","22","103","63","76","58","75","77","43","68","0","16","0","16","0","16","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"658","97","452","95","0","11","10","17","108","50","199","71","92","55","43","50","0","11","0","11","0","11","206","69","0","11","30","25","9","15","90","46","51","36","26","25","0","11","0","11","0","11","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"572","92","354","90","10","17","18","19","104","59","122","47","82","51","18","20","0","16","0","16","0","16","218","84","9","15","45","35","92","72","31","27","27","25","14","17","0","16","0","16","0","16","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"1148","98","566","102","0","11","0","11","56","48","224","62","193","59","76","44","17","25","0","11","0","11","582","83","25","27","0","11","7","11","159","62","267","81","105","38","13","15","0","11","6","9","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"1698","216","1064","176","18","31","15","20","57","42","228","91","375","103","320","133","19","18","32","36","0","16","634","154","12","10","50","45","56","71","155","61","101","41","216","108","24","20","17","14","3","6","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"1333","160","767","127","82","51","114","63","158","57","228","72","145","104","9","13","31","44","0","11","0","11","566","145","222","101","29","26","135","67","104","55","76","42","0","11","0","11","0","11","0","11","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"1101","194","556","144","37","35","96","59","187","90","93","59","110","80","33","52","0","11","0","11","0","11","545","147","189","78","36","25","79","49","82","67","159","86","0","11","0","11","0","11","0","11","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
