"C17002_001E","C17002_001M","C17002_002E","C17002_002M","C17002_003E","C17002_003M","C17002_004E","C17002_004M","C17002_005E","C17002_005M","C17002_006E","C17002_006M","C17002_007E","C17002_007M","C17002_008E","C17002_008M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under .50","Margin of Error!!Total:!!Under .50","Estimate!!Total:!!.50 to .99","Margin of Error!!Total:!!.50 to .99","Estimate!!Total:!!1.00 to 1.24","Margin of Error!!Total:!!1.00 to 1.24","Estimate!!Total:!!1.25 to 1.49","Margin of Error!!Total:!!1.25 to 1.49","Estimate!!Total:!!1.50 to 1.84","Margin of Error!!Total:!!1.50 to 1.84","Estimate!!Total:!!1.85 to 1.99","Margin of Error!!Total:!!1.85 to 1.99","Estimate!!Total:!!2.00 and over","Margin of Error!!Total:!!2.00 and over","id","Geographic Area Name"
"3297","21","175","95","90","55","118","98","81","62","107","62","39","40","2687","129","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3208","245","357","210","259","148","41","31","74","81","215","92","58","55","2204","248","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3172","245","90","55","130","119","36","34","125","114","213","193","9","15","2569","311","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2977","18","69","50","44","41","96","69","68","54","22","20","77","56","2601","125","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3278","105","100","73","174","93","98","102","112","72","380","217","194","160","2220","306","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3727","26","151","114","293","213","103","152","100","93","72","56","24","27","2984","252","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4659","45","128","84","106","64","184","180","31","24","317","204","11","17","3882","251","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"7251","83","462","331","229","140","138","108","245","199","644","403","0","16","5533","497","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"3963","252","133","86","512","275","140","123","366","217","229","107","62","51","2521","316","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"5003","359","147","122","575","295","164","186","118","136","390","412","17","27","3592","620","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"4130","344","140","106","124","70","339","208","118","88","77","40","240","144","3092","349","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"2909","256","98","57","82","53","63","53","122","88","205","191","36","43","2303","294","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"1213","164","22","19","40","22","6","9","13","15","35","26","9","19","1088","169","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"5940","161","55","46","277","194","78","101","85","55","94","71","116","120","5235","272","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"5298","19","16","27","108","98","176","257","91","129","95","94","172","120","4640","290","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"3890","228","157","108","159","103","75","96","255","200","287","128","33","26","2924","303","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"6136","431","466","388","333","178","221","148","76","86","321","209","232","288","4487","592","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"4167","421","254","223","453","277","114","114","155","147","259","118","78","75","2854","465","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"2789","82","97","108","130","75","108","91","28","25","131","82","72","60","2223","175","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"5115","206","217","105","237","121","359","306","152","97","416","223","108","78","3626","404","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"2979","197","101","56","145","63","201","127","52","39","170","64","77","92","2233","196","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"4151","121","145","88","375","204","180","92","209","133","286","178","138","119","2818","273","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"5842","193","174","119","163","137","131","144","204","150","429","312","97","72","4644","462","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"6220","41","78","62","219","189","124","148","471","295","452","254","229","194","4647","454","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"4059","53","149","83","91","68","109","152","241","170","75","46","0","11","3394","264","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"2190","207","58","39","71","51","66","41","195","158","107","64","22","20","1671","245","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"4198","205","285","125","146","46","249","111","146","75","184","69","90","69","3098","187","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"3936","20","60","59","104","66","32","25","35","24","134","109","87","93","3484","173","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"5162","213","231","122","135","47","76","31","188","64","127","45","111","48","4294","225","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
