HILLSBORO CHRISTIAN SCHOOL      HILLSBOROUGH       NH
RONNIE'S CHILD CARE      NASHUA       NH
SOUTHERN NEW HAMPSHIRE SERVICES EARLY HEAD START      MANCHESTER       NH
RIVENDELL ACADEMY (E)      ORFORD       NH
KAREN'S KARE      HAVERHILL       NH
BEDFORD MONTESSORI SCHOOL      BEDFORD       NH
PELHAM MEMORIAL SCHOOL      PELHAM       NH
MERRIMACK VALLEY HIGH SCHOOL      CONCORD       NH
CHESTERBROOK SCHOOL OF NATURAL LEARNING      CHESTER       NH
LANDAFF BLUE SCHOOL      LANDAFF       NH
BROWN ELEMENTARY SCHOOL      BERLIN       NH
MEMORIAL SCHOOL      BEDFORD       NH
INTER-LAKES ELEMENTARY SCHOOL      MEREDITH       NH
CHILDREN'S GARDEN DAYCARE      GILFORD       NH
CHILD DEVELOPMENT CENTER AT WHITE MOUNTAINS COMMUNITY COLLEG      BERLIN       NH
LIVE AND LEARN EARLY LEARNING CENTER      LEE       NH
LONDONDERRY SENIOR HIGH SCHOOL      LONDONDERRY       NH
KEARSARGE REGIONAL MIDDLE SCHOOL      SUTTON       NH
CLUBHOUSE DAY CARE      DERRY       NH
KID LOGIC      EAST KINGSTON       NH
BUILDING BLOCK COMMONS      EXETER       NH
MADISON ELEMENTARY SCHOOL      MADISON       NH
LITTLE ARROWS CHILD CARE SERVICES      MILFORD       NH
MICROSOCIETY ACADEMY CHARTER SCHOOL OF SOUTHERN NH      NASHUA       NH
KIDWORKS LEARNING CENTER      MEREDITH       NH
WORLD ACADEMY      NASHUA       NH
HERE WE GROW LEARNING CENTER      SALEM       NH
SEACOAST COMMUNITY SCHOOL  - COMMUNITY SCHOOL @ DONDERO      PORTSMOUTH       NH
LIGHTHOUSE CHRISTIAN ACADEMY      ROCHESTER       NH
PAUL A. SMITH SCHOOL      FRANKLIN       NH
WINNISQUAM REGIONAL HIGH SCHOOL      TILTON       NH
BOW MEMORIAL SCHOOL      BOW       NH
ALVIRNE HIGH SCHOOL      HUDSON       NH
BUD CARLSON ACADEMY      ROCHESTER       NH
WELLS MEMORIAL SCHOOL      HARRISVILLE       NH
LAKELAND SCHOOL      MEREDITH       NH
MERRILL JOHNSON EARLY CHILDHOOD PROGRAM      HOOKSETT       NH
CHAPEL SCHOOL      NASHUA       NH
ACORN BROWN'S TURTLE TOWN DAYCARE      LACONIA       NH
STRONG FOUNDATIONS CHARTER SCHOOL      PEMBROKE       NH
SUGAR AND SPICE PRESCHOOL      WEARE       NH
PEMBROKE ACADEMY      PEMBROKE       NH
ALL ABOUT KIDS LEARNING CENTER      COLEBROOK       NH
MONARCH SCHOOL OF NEW ENGLAND      ROCHESTER       NH
LACONIA HIGH SCHOOL      LACONIA       NH
HILLSBORO CHILD DEVELOPMENT CENTER      HILLSBOROUGH       NH
BISHOP GUERTIN HIGH SCHOOL      NASHUA       NH
BRIDGEWATER-HEBRON VILLAGE SCHOOL      BRISTOL       NH
MEETING HOUSE MONTESSORI      BOW       NH
SANDOWN NORTH ELEMENTARY SCHOOL      SANDOWN       NH
MONADNOCK REGIONAL SCHOOL DISTRICT - ACES #93 @ MT. CAESAR      SWANZEY       NH
CHILDREN'S CENTER OF THE UPPER VALLEY      LEBANON       NH
MELISSA'S MUNCHKIN LAND      ROCHESTER       NH
CROTCHED MOUNTAIN REHAB CENTER      GREENFIELD       NH
KENDAL AT HANOVER CHILDEN'S CENTER      HANOVER       NH
HOLLIS UPPER ELEMENTARY SCHOOL      HOLLIS       NH
KEARSARGE REG. ELEMENTARY SCHOOL - BRADFORD      BRADFORD       NH
PB & J'S CHILD CARE AND LEARNING CENTER      BRISTOL       NH
MARY-GO-ROUND CHILDCARE CENTER      HOOKSETT       NH
CREATIVE KIDS PRESCHOOL @ BYPC      BEDFORD       NH
JEWETT SCHOOL      MANCHESTER       NH
MT. PLEASANT SCHOOL      NASHUA       NH
EARLY LEARNING CENTER OF MILFORD      MILFORD       NH
NEWPORT MIDDLE HIGH SCHOOL (HIGH)      NEWPORT       NH
THREE RIVERS SCHOOL      PEMBROKE       NH
GOLDEN BROOK ELEMENTARY SCHOOL      WINDHAM       NH
MISS PATTY'S CHILD CARE CENTER      DOVER       NH
DONNA'S LITTLE DELIGHTS FAMILY CHILD CARE      NASHUA       NH
BELMONT HIGH SCHOOL      BELMONT       NH
HINSDALE ELEMENTARY SCHOOL      HINSDALE       NH
PINES COMMUNITY CENTER CHILD CARE      NORTHFIELD       NH
BOYNTON MIDDLE SCHOOL      NEW IPSWICH       NH
RIDDLE BROOK SCHOOL      BEDFORD       NH
SOUTHWESTERN COMMUNITY SERVICES-ASHUELOT HEADSTART      WINCHESTER       NH
LAFAYETTE REGIONAL SCHOOL      FRANCONIA       NH
EPPING HIGH SCHOOL      EPPING       NH
LEARN AS WE PLAY CHILD CARE CENTER      GOFFSTOWN       NH
WINDHAM LEARNING TREE ACADEMY      WINDHAM       NH
LYME NURSERY SCHOOL      LYME       NH
CONANT HIGH SCHOOL      JAFFREY       NH
LEARN AND GROW PRESCHOOL AND ENRICHMENT CENTER      HAVERHILL       NH
POLLARD ELEMENTARY SCHOOL      PLAISTOW       NH
RUNDLETT MIDDLE SCHOOL      CONCORD       NH
FLEDGLINGS PRESCHOOL AT PRESCOTT FARM      LACONIA       NH
LITTLE FROGS & POLLIWOGS LEARNING CENTER      MANCHESTER       NH
MOTHER GOOSE CHILD CARE CENTER      GORHAM       NH
MAIN STREET KID'S CONNECTION      GOFFSTOWN       NH
CHILDREN'S COUNTRY LEARNING CENTER      HOOKSETT       NH
PIERCE ELEMENTARY SCHOOL      BENNINGTON       NH
GREAT BAY CHARTER SCHOOL (H)      EXETER       NH
ST. CATHERINE SCHOOL      MANCHESTER       NH
STRONG BEGINNINGS      NEW BOSTON       NH
HILLSIDE MIDDLE SCHOOL      MANCHESTER       NH
WINDHAM CROSSING LEARNING CENTER      WINDHAM       NH
KINDERCARE LEARNING CENTER      PORTSMOUTH       NH
THE VILLAGE PRESCHOOL      CENTER HARBOR       NH
IDLEHURST ELEMENTARY SCHOOL      SOMERSWORTH       NH
KINGSTON CHILDREN'S CENTER      KINGSTON       NH
JOYFUL NOISE PRESCHOOL AND LEARNING CENTER      BOW       NH
SOMERSWORTH EARLY LEARNING CENTER      SOMERSWORTH       NH
IT'S A CHILD'S WORLD      AUBURN       NH
ST. FRANCIS OF ASSISI SCHOOL      LITCHFIELD       NH
FALL MOUNTAIN REGIONAL HIGH SCHOOL      LANGDON       NH
TIC-TAC-TOTS PRESCHOOL      HOOKSETT       NH
STRATHAM CIRCLE LEARNING CENTER      STRATHAM       NH
ACORN SCHOOL      STRATHAM       NH
PRESCHOOL      NASHUA       NH
MINDS IN MOTION      NASHUA       NH
SUNRISE TO SUNSET CHILD CARE      NEWPORT       NH
KREIVA ACADEMY PUBLIC CHARTER SCHOOL (M)      MANCHESTER       NH
ROBERT B. JOLICOUER EDUCATION AND RESIDENTIAL FACILITY - BOY      MANCHESTER       NH
ELEMENOPE PRINCIPLES CHILD LEARNING CENTER      MANCHESTER       NH
CORNISH ELEMENTARY SCHOOL      CORNISH       NH
LITTLE TREE EDUCATION      DOVER       NH
BROAD STREET ELEMENTARY SCHOOL      NASHUA       NH
ROLLINSFORD GRADE SCHOOL      ROLLINSFORD       NH
PETERBOROUGH ELEMENTARY SCHOOL      PETERBOROUGH       NH
WATERMELON SEEDS PRESCHOOL AND LEARNING CENTER      CAMPTON       NH
